Subject	Subject Description
AAS	Asian American Studies
ABE	Agricultural and Biological Engineering
ABIO	Animal Biology
ACCY	Accountancy
ACE	Agricultural and Consumer Economics
ACES	Agricultural, Consumer and Environmental Sciences
ADV	Advertising
AE	Aerospace Engineering
AFAS	Air Force Aerospace Studies
AFLG	African Languages
AFRO	African American Studies
AFST	African Studies
AGCM	Agricultural Communications
AGED	Agricultural Education
AHS	Applied Health Sciences Courses
AIS	American Indian Studies
ALEC	Agricultural Leadership, Education, and Communications Program
ALS	Applied Life Studies Courses
AMCI	American Civilization
AMCV	American Civilization
ANSC	Animal Sciences
ANTH	Anthropology
ARAB	Arabic
ARCH	Architecture
ARNM	Art--Narrative Media
ART	Art
ARTC	Art--Cinematography
ARTD	Art--Design
ARTE	Art--Education
ARTF	Art--Foundation
ARTG	Art--General Professional
ARTH	Art--History
ARTI	Art--Industrial Design
ARTJ	Japan House
ARTP	Art--Printmaking
ARTS	Art--Studio
ASRM	Actuarial Science and Risk Management
ASST	Asian Studies
ASTR	Astronomy
ATMS	Atmospheric Sciences
AVI	Aviation
BA	ZZZ Biocommunications Arts
BADM	Business Administration
BALT	Baltic Languages and Cultures
BASQ	Basque
BCOG	Brain and Cognitive Science
BCS	Bosnian-Croatian-Serbian
BDI	Business Data and Innovation
BIO	Bioengineering
BIOC	Biochemistry
BIOE	Bioengineering
BIOL	Biology
BIOP	Biophysics
BMNA	Bamana
BR	Bridge
BSE	Biomedical Sciences and Engineering
BTW	Business and Technical Writing
BULG	Bulgarian
BURM	Burmese
BUS	Business
CAS	Center for Advanced Study
CATL	Catalan
CB	Comparative Biosciences
CDB	Cell and Developmental Biology
CEE	Civil and Environmental Engineering
CER	Ceramic Engineering
CHBE	Chemical and Biomolecular Engineering
CHEM	Chemistry
CHIN	Chinese
CHLH	Community Health
CHP	Campus Honors Program Courses
CI	Curriculum and Instruction
CIC	Committee on Inst Cooperation
CINE	Cinema Studies
CLA	Classical Archeology
CLCV	Classical Civilization
CLE	Clinical Sciences and Engineering
CMN	Communication
COMM	Communications
COP	Coptic Studies
CPSC	Crop Sciences
CS	Computer Science
CSB	Cell and Structural Biology
CSE	Computational Science and Engineering
CSTS	Science, Techology, and Society
CW	Creative Writing
CWL	Comparative and World Literature
CZCH	Czech
DANC	Dance
DLAW	Discovery Program in Law
DROP	Winter Session Drop Course
EALC	East Asian Languages and Cultures
ECE	Electrical and Computer Engineering
ECON	Economics
EDPR	Educational Practice
EDUC	Education
